Title,Hours Viewed,id,vote_average,vote_count,release_date,revenue,runtime,budget,original_language,original_title,overview,popularity,poster_path,genres,visualizaciones,budget_millions,budget_category
88 Minutes,100000,3489,5.76,981,2007-02-14,32593385,108.0,30000000,en,88 Minutes,"A college professor who moonlights as a forensic psychiatrist for the FBI, receives a death threat claiming he has only 88 minutes to live.",16.249,/8rMiBz8kLMNmQyMbQXL9MPIlyw.jpg,"Crime, Mystery, Thriller",925.925925925926,30.0,Medio
8MM,700000,8224,6.406,1791,1999-02-26,96618699,123.0,40000000,en,8MM,"A small, seemingly innocuous plastic reel of film leads surveillance specialist Tom Welles down an increasingly dark and frightening path. With the help of the streetwise Max, he relentlessly follows a bizarre trail of evidence to determine the fate of a complete stranger. As his work turns into obsession, he drifts farther and farther away from his wife, family and simple life as a small-town PI.",17.369,/kiIju5GG46DvwoiUs5xlwIyiHMW.jpg,"Thriller, Crime, Mystery",5691.056910569106,40.0,Medio
90 Minutes in Heaven,5000000,343795,6.0,141,2015-09-11,4842699,121.0,5000000,en,90 Minutes in Heaven,"A man involved in a horrific car crash is pronounced dead, only to come back to life an hour and a half later, claiming to have seen Heaven.",12.987,/e3LKk8UdDyXDkov9k8iP2JJNChi.jpg,Drama,41322.31404958678,5.0,Medio
99 Homes,100000,283235,6.766,682,2015-09-25,1411927,112.0,8000000,en,99 Homes,"After his family is evicted from their home, proud and desperate construction worker Dennis Nash tries to win his home back by striking a deal with the devil and working for Rick Carver, the corrupt real estate broker who evicted him.",12.223,/gD2DRIAOCIszyHlrYYbUXjsHHlr.jpg,Drama,892.8571428571429,8.0,Medio
A Bad Moms Christmas,3700000,431530,6.314,1923,2017-08-04,130560428,104.0,28000000,en,A Bad Moms Christmas,"Amy, Kiki and Carla – three under-appreciated and over-burdened women – rebel against the challenges and expectations of the Super Bowl for mothers: Christmas. And if creating a more perfect holiday for their families wasn’t hard enough, they have to do all of that while hosting and entertaining their own mothers.",13.988,/gPNHolu7AGnrB7r5kvJRRTfwMFR.jpg,Comedy,35576.92307692308,28.0,Medio
A Beautiful Day in the Neighborhood,1500000,501907,7.0,1447,2019-09-07,67925733,109.0,25000000,en,A Beautiful Day in the Neighborhood,"An award-winning cynical journalist, Lloyd Vogel, begrudgingly accepts an assignment to write an Esquire profile piece on the beloved television icon Fred Rogers. After his encounter with Rogers, Vogel's perspective on life is transformed.",18.327,/p9vCAVhDK375XyobVcKqzqzsUHE.jpg,"Drama, History",13761.467889908257,25.0,Medio
A Beautiful Mind,200000,453,7.851,9475,2001-12-11,316800000,135.0,58000000,en,A Beautiful Mind,"John Nash is a brilliant but asocial mathematician fighting schizophrenia. After he accepts secret work in cryptography, his life takes a turn for the nightmarish.",36.253,/zwzWCmH72OSC9NA0ipoqw5Zjya8.jpg,"Drama, Romance",1481.4814814814815,58.0,Alto
A Cinderella Story,3000000,11247,6.5,3004,2004-07-16,70067909,95.0,19000000,en,A Cinderella Story,"Routinely exploited by her wicked stepmother, the downtrodden Samantha Montgomery is excited about the prospect of meeting her Internet beau at the school's Halloween dance.",26.336,/3d6Nu5c7BSo5BrH2xE1pnj3yNrc.jpg,"Comedy, Family, Romance",31578.947368421053,19.0,Medio
A Civil Action,400000,9422,6.4,391,1998-12-25,56709981,115.0,70000000,en,A Civil Action,"Jan Schlickmann is a cynical lawyer who goes out to 'get rid of' a case, only to find out it is potentially worth millions. The case becomes his obsession, to the extent that he is willing to give up everything—including his career and his clients' goals—in order to continue the case against all odds.",14.093,/2AVF1cjRGOfaB4oteSzxvHiQ3hR.jpg,Drama,3478.2608695652175,70.0,Alto
A Cure for Wellness,600000,340837,6.3,3589,2017-02-15,26620002,146.0,40000000,en,A Cure for Wellness,"An ambitious young executive is sent to retrieve his company's CEO from an idyllic but mysterious ""wellness center"" at a remote location in the Swiss Alps but soon suspects that the spa's miraculous treatments are not what they seem.",19.807,/d4fXuJS3zZcAZfz2HYDtnwqtnwn.jpg,"Horror, Mystery, Science Fiction",4109.58904109589,40.0,Medio
A Day to Die,300000,864116,5.962,186,2022-03-04,0,101.0,98616,en,A Day to Die,"A disgraced parole officer is indebted to a local gang leader and forced to pull off a series of dangerous drug heists within twelve hours in order to pay the $2 million dollars he owes, rescue his kidnapped pregnant wife, and settle a score with the city's corrupt police chief, who is working with the gang leader and double-crossed him years ago.",21.551,/8Kce1utfytAG5m1PbtVoDzmDZJH.jpg,"Action, Thriller, Crime",2970.29702970297,0.098616,Bajo
A Dirty Shame,100000,13702,5.373,256,2004-09-12,1914166,89.0,15000000,en,A Dirty Shame,"Sylvia Stickles runs a convenience store with her husband and mother-in-law. One day, Sylvia is hit on the head and transforms from an uptight prude to a sex-crazed lunatic. As she goes on a rampage through town, Sylvia attracts the attention of Ray Ray, a sexual healer and tow truck driver in search of the world's greatest orgasm. Their sexual revolution, however, causes a class war in their tiny Baltimore community.",21.546,/j8gvaNlQ6XgllEtSEPcVtcAfk2i.jpg,Comedy,1123.5955056179776,15.0,Medio
A Dog's Journey,1300000,522518,8.038,1357,2019-05-03,78871079,109.0,16000000,en,A Dog's Journey,A dog finds the meaning of his own existence through the lives of the humans he meets.,32.243,/wquJChp0NpoqthYdE3YjXNNxvVC.jpg,"Family, Adventure, Drama",11926.605504587156,16.0,Medio
A Dog's Purpose,16300000,381289,7.615,3078,2017-01-19,205035819,100.0,22000000,en,A Dog's Purpose,A dog goes on quest to discover his purpose in life over the course of several lifetimes with multiple owners.,30.263,/3jcNvhtVQe5Neoffdic39fRactM.jpg,"Adventure, Comedy, Fantasy, Family, Drama",163000.0,22.0,Medio
